City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,284.22,60,93,1.34,AU,1727217825
1,adamstown,-25.066,-130.1015,292.72,70,86,6.63,PN,1727217826
2,kone,-21.0595,164.8658,302.19,41,1,2.89,NC,1727217828
3,iqaluit,63.7506,-68.5145,279.0,86,75,3.09,CA,1727217829
4,waitangi,-43.9535,-176.5597,281.94,78,16,6.26,NZ,1727217830
5,vrangel',42.7297,133.0839,289.35,80,92,5.09,RU,1727217831
6,west island,-12.1568,96.8225,299.14,94,75,6.17,CC,1727217832
7,luba,3.4568,8.5547,298.1,80,100,0.49,GQ,1727217834
8,puerto natales,-51.7236,-72.4875,276.4,60,75,11.32,CL,1727217722
9,ribeira grande,38.5167,-28.7,297.47,92,100,8.49,PT,1727217836
10,port-aux-francais,-49.35,70.2167,275.58,65,17,12.91,TF,1727217837
11,alotau,-10.3069,150.4462,301.28,73,44,2.4,PG,1727217838
12,yellowknife,62.456,-114.3525,281.71,96,100,2.57,CA,1727217840
13,ushuaia,-54.8,-68.3,270.96,100,100,8.75,AR,1727217611
14,vorgashor,67.5833,63.95,273.02,91,99,11.69,RU,1727217842
15,paracuru,-3.41,-39.0306,298.4,82,27,5.41,BR,1727217843
16,bredasdorp,-34.5322,20.0403,285.37,93,100,0.9,ZA,1727217844
17,rio grande,-32.035,-52.0986,291.31,96,91,4.33,BR,1727217846
18,hawaiian paradise park,19.5933,-154.9731,301.88,72,20,4.12,US,1727217848
19,pacific grove,36.6177,-121.9166,295.21,89,0,6.26,US,1727217849
20,guane,22.2025,-84.0875,298.74,90,100,9.96,CU,1727217850
21,san antonio de pale,-1.4014,5.6325,297.96,81,51,4.52,GQ,1727217852
22,las tablas,7.7667,-80.2833,298.8,99,100,4.22,PA,1727217853
23,saipan,15.1355,145.701,301.54,89,40,2.06,MP,1727217854
24,ust-nera,64.5667,143.2,271.85,79,100,4.0,RU,1727217855
25,wuhai,39.6647,106.8122,289.12,56,10,2.04,CN,1727217856
26,wailua homesteads,22.0669,-159.378,302.11,67,20,6.17,US,1727217858
27,edinburgh of the seven seas,-37.0676,-12.3116,285.29,78,12,3.78,SH,1727217859
28,invercargill,-46.4,168.35,284.83,63,98,4.02,NZ,1727217860
29,la passe,45.5549,-0.8967,289.23,92,42,3.97,FR,1727217861
30,talnakh,69.4865,88.3972,275.89,82,70,2.23,RU,1727217862
31,prineville,44.2999,-120.8345,306.88,25,0,2.06,US,1727217864
32,tazacorte,28.629,-17.9293,294.69,91,20,5.14,ES,1727217865
33,quellon,-43.1167,-73.6167,279.08,72,59,4.52,CL,1727217866
34,alice springs,-23.7,133.8833,291.9,88,40,0.0,AU,1727217867
35,margaret river,-33.95,115.0667,280.15,76,6,3.93,AU,1727217868
36,hasaki,35.7333,140.8333,296.89,62,100,8.9,JP,1727217870
37,rikaze,29.25,88.8833,283.05,70,94,1.76,CN,1727217871
38,sibiti,-3.6819,13.3499,295.18,90,94,0.91,CG,1727217872
39,lihue,21.9789,-159.3672,302.45,63,20,6.17,US,1727217873
40,sierra grande,-41.606,-65.3557,286.59,28,100,9.06,AR,1727217874
41,thompson,55.7435,-97.8558,286.24,94,100,3.09,CA,1727217839
42,polyarnyy,69.1989,33.4478,280.73,92,100,8.19,RU,1727217662
43,fisterra,42.9049,-9.2629,290.43,96,100,7.4,ES,1727217878
44,nguigmi,14.2495,13.1092,301.08,67,1,10.92,NE,1727217879
45,east london,-33.0153,27.9116,293.17,76,51,6.59,ZA,1727217622
46,hinton,53.4001,-117.5857,293.9,49,8,2.87,CA,1727217882
47,santo antonio do ica,-3.1022,-67.9397,304.13,39,61,0.32,BR,1727217883
48,shingu,33.7333,135.9833,296.42,67,48,3.61,JP,1727217884
49,yarmouth,41.7057,-70.2286,289.83,83,75,4.63,US,1727217885
50,hermanus,-34.4187,19.2345,284.15,87,100,2.96,ZA,1727217886
51,aasiaat,68.7098,-52.8699,273.6,81,81,0.23,GL,1727217707
52,luderitz,-26.6481,15.1594,286.46,83,15,2.49,NA,1727217889
53,san juanito,28.0,-107.5833,297.75,26,15,1.33,MX,1727217890
54,shimoda,34.6667,138.95,294.69,70,75,9.13,JP,1727217891
55,sarmiento,-45.5882,-69.07,280.82,36,19,9.58,AR,1727217892
56,punta arenas,-53.15,-70.9167,273.21,100,75,11.32,CL,1727217808
57,lebu,-37.6167,-73.65,282.32,80,18,1.74,CL,1727217895
58,veinticinco de mayo,-35.4323,-60.1727,288.7,56,75,1.79,AR,1727217896
59,kapuskasing,49.4169,-82.4331,287.2,88,100,2.57,CA,1727217897
60,grytviken,-54.2811,-36.5092,272.29,79,78,4.72,GS,1727217898
61,bilibino,68.0546,166.4372,271.26,76,96,0.89,RU,1727217899
62,mora,11.0461,14.1401,296.56,79,96,0.99,CM,1727217901
63,bethel,41.3712,-73.414,290.34,81,75,2.06,US,1727217655
64,san jose de guanipa,8.8872,-64.1651,303.72,54,80,1.69,VE,1727217903
65,hamilton,39.1834,-84.5333,296.17,87,0,5.14,US,1727217820
66,ola,59.5833,151.2833,278.87,45,1,2.48,RU,1727217905
67,mahibadhoo,3.7833,72.9667,301.62,76,21,9.17,MV,1727217906
68,klyuchi,52.2667,79.1667,276.52,68,4,3.17,RU,1727217908
69,santanyi,39.3546,3.1291,295.29,80,100,3.33,ES,1727217807
70,sinabang,2.4803,96.3801,299.95,83,100,1.18,ID,1727217910
71,sao paulo de olivenca,-3.3783,-68.8725,305.85,36,95,0.94,BR,1727217911
72,ulmeni,47.4667,23.3,290.45,56,100,0.65,RO,1727217912
73,al jadid,27.05,14.4,304.11,36,2,8.8,LY,1727217914
74,eydhafushi,5.1033,73.0708,301.44,76,21,8.37,MV,1727217915
75,utrik,11.2278,169.8474,301.54,74,59,2.66,MH,1727217916
76,constantia,44.1833,28.65,289.65,80,20,2.46,RO,1727217917
77,aktau,43.65,51.2,291.47,54,94,10.69,KZ,1727217918
78,pangody,65.85,74.4859,273.97,97,100,8.67,RU,1727217920
79,ubinskoye,55.3068,79.6802,273.69,83,13,4.73,RU,1727217921
80,pasuquin,18.3328,120.6177,299.12,100,40,1.03,PH,1727217922
81,imbituba,-28.24,-48.6703,292.33,92,0,6.69,BR,1727217924
82,ifrane,33.3333,-5.25,287.75,71,12,0.87,MA,1727217926
